id1,id2
320,764
371,760
372,761
349,737
350,738
359,747
363,751
360,748
364,752
361,749
362,750
321,706
322,707
365,754
367,756
368,757
366,755
346,734
348,736
347,735
351,739
355,743
352,740
353,741
354,742
335,722
336,723
337,724
338,725
332,719
333,720
356,744
357,745
358,746
373,762
374,763
369,758
370,759
323,708
326,713
329,716
327,714
328,715
330,717
331,718
340,730
342,732
341,731
343,733
324,711
325,712
34,521
61,504
62,505
31,472
5,451
7,453
6,452
89,535
90,536
91,537
4,518
80,522
81,523
32,473
33,474
53,497
78,520
66,508
64,506
65,507
85,530
86,531
70,512
72,514
73,515
71,513
74,516
75,517
76,511
38,494
39,495
16,460
17,461
82,524
8,454
9,455
10,456
11,457
12,458
83,528
84,529
25,470
26,471
92,534
87,532
88,533
63,459
36,479
37,480
35,478
28,467
29,468
30,469
50,498
52,500
51,499
58,503
57,502
21,465
22,466
20,464
44,488
40,484
41,485
42,486
43,487
95,540
96,541
49,491
45,490
77,519
18,462
19,463
94,539
93,538
13,525
14,526
15,527
56,492
140,554
137,551
138,552
139,553
118,542
135,547
136,548
132,544
133,545
134,546
162,556
168,557
169,558
413,797
414,798
418,811
419,812
442,832
444,834
443,833
422,822
423,823
404,788
405,789
406,790
407,791
433,827
435,829
436,830
437,831
434,828
429,820
430,821
408,792
409,793
410,794
411,795
412,796
379,771
381,773
380,772
425,814
426,815
427,816
428,817
424,813
382,767
384,769
385,770
383,768
445,835
446,836
389,802
391,804
390,803
400,784
401,785
420,809
421,810
438,825
439,826
393,777
394,778
395,779
396,780
415,805
416,806
417,807
403,787
402,786
447,839
448,840
431,818
432,819
386,774
388,776
387,775
397,781
399,783
398,782
377,765
378,766
440,837
441,838
276,665
228,604
229,605
230,606
199,646
233,601
231,599
232,600
302,658
300,656
301,657
303,659
212,668
213,669
219,595
220,596
312,703
313,704
314,705
578,579
578,580
578,581
579,580
579,581
580,581
207,588
208,589
226,602
227,603
291,686
289,684
292,687
290,685
201,582
202,583
267,666
268,667
304,700
305,701
176,648
177,649
175,647
178,650
651,652
294,688
295,689
253,640
670,671
242,618
240,616
241,617
248,672
187,567
189,569
188,568
673,674
673,675
674,675
216,592
217,593
218,594
215,591
194,574
195,575
192,572
193,573
315,633
318,636
316,634
317,635
223,643
221,641
222,642
308,695
306,693
307,694
184,565
183,564
185,566
234,607
235,608
236,609
237,610
238,611
621,622
621,623
622,623
264,653
265,654
182,561
180,559
181,560
254,639
263,645
262,644
299,692
297,690
298,691
260,676
261,677
280,680
249,629
251,631
250,630
252,632
196,576
197,577
203,584
204,585
205,586
206,587
311,702
287,682
288,683
286,681
273,661
272,660
191,571
190,570
244,620
243,619
225,598
285,679
284,678
697,698
697,699
698,699
269,655
275,664
274,663
